City ID,City,State,Country,Region,Market
41,Ain Oussera,Djelfa,Algeria,North Africa,Africa
42,Aix-en-Provence,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe
43,Aix-les-Bains,Auvergne-Rhône-Alpes,France,Western Europe,Europe
44,Ajaccio,Corsica,France,Western Europe,Europe
45,Ajman,'Ajman,United Arab Emirates,Western Asia,Asia Pacific
46,Ajmer,Rajasthan,India,Southern Asia,Asia Pacific
47,Akhisar,Manisa,Turkey,Western Asia,Asia Pacific
48,Akhmim,Suhaj,Egypt,North Africa,Africa
49,Akola,Maharashtra,India,Southern Asia,Asia Pacific
50,Akron,Ohio,United States,Eastern US,USCA
51,Aksaray,Aksaray,Turkey,Western Asia,Asia Pacific
52,Aksu,Xinjiang Uygur,China,Eastern Asia,Asia Pacific
53,Akure,Ondo,Nigeria,Western Africa,Africa
54,Al Amarah,Maysan,Iraq,Western Asia,Asia Pacific
55,Al Fayyum,Al Fayyum,Egypt,North Africa,Africa
56,Al Hillah,Babil,Iraq,Western Asia,Asia Pacific
57,Al Hudaydah,Al Hudaydah,Yemen,Western Asia,Asia Pacific
58,Al Hufuf,Ash Sharqiyah,Saudi Arabia,Western Asia,Asia Pacific
59,Al Khums,Al Marqab,Libya,North Africa,Africa
60,Al Mahallah al Kubra,Al Gharbiyah,Egypt,North Africa,Africa
61,Al Manaqil,Gezira,Sudan,North Africa,Africa
62,Al Minya,Al Minya,Egypt,North Africa,Africa
63,Al Mubarraz,Ash Sharqiyah,Saudi Arabia,Western Asia,Asia Pacific
64,Al Muharraq,Muharraq,Bahrain,Western Asia,Asia Pacific
65,Alanya,Antalya,Turkey,Western Asia,Asia Pacific
66,Albacete,Castile-La Mancha,Spain,Southern Europe,Europe
67,Albany,Western Australia,Australia,Oceania,Asia Pacific
68,Albertville,Auvergne-Rhône-Alpes,France,Western Europe,Europe
69,Albi,Languedoc-Roussillon-Midi-Pyrénées,France,Western Europe,Europe
70,Albuquerque,New Mexico,United States,Western US,USCA
71,Albury,New South Wales,Australia,Oceania,Asia Pacific
72,Alcobendas,Madrid,Spain,Southern Europe,Europe
73,Alessandria,Piedmont,Italy,Southern Europe,Europe
74,Alexandria,Al Iskandariyah,Egypt,North Africa,Africa
75,Alexandria,Virginia,United States,Southern US,USCA
76,Alfortville,Ile-de-France,France,Western Europe,Europe
77,Algiers,Alger,Algeria,North Africa,Africa
78,Alicante,Valenciana,Spain,Southern Europe,Europe
79,Alice Springs,Northern Territory,Australia,Oceania,Asia Pacific
80,Aligarh,Uttar Pradesh,India,Southern Asia,Asia Pacific
81,Aligudarz,Lorestan,Iran,Southern Asia,Asia Pacific
82,Alkmaar,North Holland,Netherlands,Western Europe,Europe
83,Allahabad,Uttar Pradesh,India,Southern Asia,Asia Pacific
84,Allauch,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe
85,Allen,Texas,United States,Central US,USCA
86,Allentown,Pennsylvania,United States,Eastern US,USCA
87,Almaty,Almaty City,Kazakhstan,Central Asia,Asia Pacific
88,Almelo,Overijssel,Netherlands,Western Europe,Europe
89,Alphen aan den Rijn,South Holland,Netherlands,Western Europe,Europe
90,Altamira,Pará,Brazil,South America,LATAM
91,Altamura,Apulia,Italy,Southern Europe,Europe
92,Altoona,Pennsylvania,United States,Eastern US,USCA
93,Altotonga,Veracruz,Mexico,Central America,LATAM
94,Amadora,Lisboa,Portugal,Southern Europe,Europe
95,Amagasaki,Hyogo,Japan,Eastern Asia,Asia Pacific
96,Amarillo,Texas,United States,Central US,USCA
97,Amasya,Amasya,Turkey,Western Asia,Asia Pacific
98,Amatitlán,Guatemala,Guatemala,Central America,LATAM
99,Ambattur,Tamil Nadu,India,Southern Asia,Asia Pacific
100,Ambon,Maluku,Indonesia,Southeastern Asia,Asia Pacific
101,Americana,São Paulo,Brazil,South America,LATAM
102,Amersfoort,Utrecht,Netherlands,Western Europe,Europe
103,Amiens,Nord-Pas-de-Calais-Picardie,France,Western Europe,Europe
104,Amman,'Amman,Jordan,Western Asia,Asia Pacific
105,Amol,Mazandaran,Iran,Southern Asia,Asia Pacific
106,Amravati,Maharashtra,India,Southern Asia,Asia Pacific
107,Amritsar,Punjab,India,Southern Asia,Asia Pacific
108,Amstelveen,North Holland,Netherlands,Western Europe,Europe
109,Amsterdam,North Holland,Netherlands,Western Europe,Europe
110,An Nasiriyah,Dhi Qar,Iraq,Western Asia,Asia Pacific
111,Anaheim,California,United States,Western US,USCA
112,Ananindeua,Pará,Brazil,South America,LATAM
113,Anantapur,Andhra Pradesh,India,Southern Asia,Asia Pacific
114,Anápolis,Goiás,Brazil,South America,LATAM
115,Ancona,Marche,Italy,Southern Europe,Europe
116,Andijon,Andijan,Uzbekistan,Central Asia,Asia Pacific
117,Andover,Massachusetts,United States,Eastern US,USCA
118,Andradina,São Paulo,Brazil,South America,LATAM
119,Andria,Apulia,Italy,Southern Europe,Europe
120,Angarsk,Irkutsk,Russia,Eastern Europe,Europe
121,Angeles City,Central Luzon,Philippines,Southeastern Asia,Asia Pacific
122,Angers,Pays de la Loire,France,Western Europe,Europe
123,Anglet,Aquitaine-Limousin-Poitou-Charentes,France,Western Europe,Europe
124,Anjo,Aichi,Japan,Eastern Asia,Asia Pacific
125,Ankara,Ankara,Turkey,Western Asia,Asia Pacific
126,Ann Arbor,Michigan,United States,Central US,USCA
127,Annaba,Annaba,Algeria,North Africa,Africa
128,Annecy,Auvergne-Rhône-Alpes,France,Western Europe,Europe
129,Annecy-le-Vieux,Auvergne-Rhône-Alpes,France,Western Europe,Europe
130,Annemasse,Auvergne-Rhône-Alpes,France,Western Europe,Europe
131,Annonay,Auvergne-Rhône-Alpes,France,Western Europe,Europe
132,Anqing,Anhui,China,Eastern Asia,Asia Pacific
133,Anshan,Liaoning,China,Eastern Asia,Asia Pacific
134,Anshun,Guizhou,China,Eastern Asia,Asia Pacific
135,Antakya,Hatay,Turkey,Western Asia,Asia Pacific
136,Antalya,Antalya,Turkey,Western Asia,Asia Pacific
137,Antananarivo,Analamanga,Madagascar,Eastern Africa,Africa
138,Antibes,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe
139,Antiguo Cuscatlán,La Libertad,El Salvador,Central America,LATAM
140,Antioch,California,United States,Western US,USCA
141,Antipolo,Calabarzon,Philippines,Southeastern Asia,Asia Pacific
142,Antofagasta,Antofagasta,Chile,South America,LATAM
143,Antony,Ile-de-France,France,Western Europe,Europe
144,Antsiranana,Diana,Madagascar,Eastern Africa,Africa
145,Antwerp,Antwerp,Belgium,Western Europe,Europe
146,Anyang,Gyeonggi,South Korea,Eastern Asia,Asia Pacific
147,Anyang,Henan,China,Eastern Asia,Asia Pacific
148,Anzio,Lazio,Italy,Southern Europe,Europe
149,Aoba-ku,Kanagawa,Japan,Eastern Asia,Asia Pacific
150,Apartadó,Antioquia,Colombia,South America,LATAM
151,Apatzingán de la Constitución,Michoacán,Mexico,Central America,LATAM
152,Apeldoorn,Gelderland,Netherlands,Western Europe,Europe
153,Apodaca,Nuevo León,Mexico,Central America,LATAM
154,Apopa,San Salvador,El Salvador,Central America,LATAM
155,Apopka,Florida,United States,Southern US,USCA
156,Apple Valley,California,United States,Western US,USCA
157,Apple Valley,Minnesota,United States,Central US,USCA
158,Appleton,Wisconsin,United States,Central US,USCA
159,Aprilia,Lazio,Italy,Southern Europe,Europe
160,Apucarana,Parana,Brazil,South America,LATAM
161,Ar Raqqah,Ar Raqqah,Syria,Western Asia,Asia Pacific
162,Aracaju,Sergipe,Brazil,South America,LATAM
163,Aracati,Ceará,Brazil,South America,LATAM
164,Araçatuba,São Paulo,Brazil,South America,LATAM
165,Arad,Arad,Romania,Eastern Europe,Europe
166,Araguaína,Tocantins,Brazil,South America,LATAM
167,Arak,Markazi,Iran,Southern Asia,Asia Pacific
168,Arapiraca,Alagoas,Brazil,South America,LATAM
169,Arapongas,Parana,Brazil,South America,LATAM
170,Araranguá,Santa Catarina,Brazil,South America,LATAM
171,Araraquara,São Paulo,Brazil,South America,LATAM
172,Arauca,Arauca,Colombia,South America,LATAM
173,Araucária,Parana,Brazil,South America,LATAM
174,Arbil,Arbil,Iraq,Western Asia,Asia Pacific
175,Arcoverde,Pernambuco,Brazil,South America,LATAM
176,Ardabil,Ardabil,Iran,Southern Asia,Asia Pacific
177,Ardahan,Ardahan,Turkey,Western Asia,Asia Pacific
178,Arequipa,Arequipa,Peru,South America,LATAM
179,Arezzo,Tuscany,Italy,Southern Europe,Europe
180,Argentan,Normandy,France,Western Europe,Europe
181,Argenteuil,Ile-de-France,France,Western Europe,Europe
182,Arica,Arica y Parinacota,Chile,South America,LATAM
183,Ariquemes,Rondônia,Brazil,South America,LATAM
184,Arkhangelsk,Arkhangel'sk,Russia,Eastern Europe,Europe
185,Arles,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe
186,Arlington,Texas,United States,Central US,USCA
187,Arlington,Virginia,United States,Southern US,USCA
188,Arlington Heights,Illinois,United States,Central US,USCA
189,Armenia,Quindío,Colombia,South America,LATAM
190,Armidale,New South Wales,Australia,Oceania,Asia Pacific
191,Arnhem,Gelderland,Netherlands,Western Europe,Europe
192,Arnsberg,North Rhine-Westphalia,Germany,Western Europe,Europe
193,Arraiján,Panama,Panama,Central America,LATAM
194,Arras,Nord-Pas-de-Calais-Picardie,France,Western Europe,Europe
195,Arrentela,Setúbal,Portugal,Southern Europe,Europe
196,Artemisa,Artemisa,Cuba,Caribbean,LATAM
197,Arusha,Arusha,Tanzania,Eastern Africa,Africa
198,Arvada,Colorado,United States,Western US,USCA
199,Arzgir,Stavropol',Russia,Eastern Europe,Europe
200,Asahikawa,Hokkaido,Japan,Eastern Asia,Asia Pacific
201,Asansol,West Bengal,India,Southern Asia,Asia Pacific
202,Aschaffenburg,Bavaria,Germany,Western Europe,Europe
203,Ashdod,Southern,Israel,Western Asia,Asia Pacific
204,Asheville,North Carolina,United States,Southern US,USCA
205,Ashford,England,United Kingdom,Northern Europe,Europe
206,Ashgabat,Ashgabat,Turkmenistan,Central Asia,Asia Pacific
207,Ashqelon,Southern,Israel,Western Asia,Asia Pacific
208,Assen,Drenthe,Netherlands,Western Europe,Europe
209,Astana,Astana,Kazakhstan,Central Asia,Asia Pacific
210,Asti,Piedmont,Italy,Southern Europe,Europe
211,Astrakhan',Astrakhan',Russia,Eastern Europe,Europe
212,Asunción,Asunción,Paraguay,South America,LATAM
213,Aswan,Aswan,Egypt,North Africa,Africa
214,Asyut,Asyut,Egypt,North Africa,Africa
215,Atakpame,Plateaux,Togo,Western Africa,Africa
216,Athens,Attica,Greece,Southern Europe,Europe
217,Athens,Georgia,United States,Southern US,USCA
218,Athis-Mons,Ile-de-France,France,Western Europe,Europe
219,Atlanta,Georgia,United States,Southern US,USCA
220,Atlantic City,New Jersey,United States,Eastern US,USCA
221,Atlixco,Puebla,Mexico,Central America,LATAM
222,Atsugacho,Hokkaido,Japan,Eastern Asia,Asia Pacific
223,Aubervilliers,Ile-de-France,France,Western Europe,Europe
224,Auburn,Alabama,United States,Southern US,USCA
225,Auburn,New York,United States,Eastern US,USCA
226,Auburn,Washington,United States,Western US,USCA
227,Auch,Languedoc-Roussillon-Midi-Pyrénées,France,Western Europe,Europe
228,Auckland,Auckland,New Zealand,Oceania,Asia Pacific
229,Augsburg,Bavaria,Germany,Western Europe,Europe
230,Aulnay-sous-Bois,Ile-de-France,France,Western Europe,Europe
231,Aurangabad,Bihar,India,Southern Asia,Asia Pacific
232,Aurangabad,Maharashtra,India,Southern Asia,Asia Pacific
233,Aurora,Colorado,United States,Western US,USCA
234,Aurora,Illinois,United States,Central US,USCA
235,Austin,Texas,United States,Central US,USCA
236,Auxerre,Bourgogne-Franche-Comté,France,Western Europe,Europe
237,Avadi,Tamil Nadu,India,Southern Asia,Asia Pacific
238,Avellaneda,Santa Fe,Argentina,South America,LATAM
239,Avellino,Campania,Italy,Southern Europe,Europe
240,Avignon,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe
241,Avion,Nord-Pas-de-Calais-Picardie,France,Western Europe,Europe
242,Avon,Ile-de-France,France,Western Europe,Europe
243,Avondale,Arizona,United States,Western US,USCA
244,Ayacucho,Ayacucho,Peru,South America,LATAM
245,Aydin,Aydin,Turkey,Western Asia,Asia Pacific
246,Aylesbury,England,United Kingdom,Northern Europe,Europe
247,Azcapotzalco,Distrito Federal,Mexico,Central America,LATAM
248,Babol,Mazandaran,Iran,Southern Asia,Asia Pacific
249,Bacau,Bacau,Romania,Eastern Europe,Europe
250,Bacolod City,Western Visayas,Philippines,Southeastern Asia,Asia Pacific
251,Bacoor,Calabarzon,Philippines,Southeastern Asia,Asia Pacific
252,Bad Waldsee,Baden-Württemberg,Germany,Western Europe,Europe
253,Badajoz,Extremadura,Spain,Southern Europe,Europe
254,Badalona,Catalonia,Spain,Southern Europe,Europe
255,Baden-Baden,Baden-Württemberg,Germany,Western Europe,Europe
256,Bafoussam,Ouest,Cameroon,Central Africa,Africa
257,Bafra,Samsun,Turkey,Western Asia,Asia Pacific
258,Bagamoyo,Pwani,Tanzania,Eastern Africa,Africa
259,Bagcilar,Istanbul,Turkey,Western Asia,Asia Pacific
260,Bagé,Rio Grande do Sul,Brazil,South America,LATAM
261,Baghdad,Baghdad,Iraq,Western Asia,Asia Pacific
262,Bagneux,Ile-de-France,France,Western Europe,Europe
263,Bagnolet,Ile-de-France,France,Western Europe,Europe
264,Baguio City,Cordillera,Philippines,Southeastern Asia,Asia Pacific
265,Bahawalpur,Punjab,Pakistan,Southern Asia,Asia Pacific
266,Bahía Blanca,Provincia de Buenos Aires,Argentina,South America,LATAM
267,Baia Mare,Maramures,Romania,Eastern Europe,Europe
268,Bajos de Haina,San Cristóbal,Dominican Republic,Caribbean,LATAM
269,Bakersfield,California,United States,Western US,USCA
270,Baku,Baki,Azerbaijan,Western Asia,Asia Pacific
271,Balikesir,Balikesir,Turkey,Western Asia,Asia Pacific
272,Balikpapan,Kalimantan Timur,Indonesia,Southeastern Asia,Asia Pacific
273,Ballarat,Victoria,Australia,Oceania,Asia Pacific
274,Balmazujvaros,Hajdu-Bihar,Hungary,Eastern Europe,Europe
275,Balneário Camboriú,Santa Catarina,Brazil,South America,LATAM
276,Balti,Balti,Moldova,Eastern Europe,Europe
277,Baltimore,Maryland,United States,Eastern US,USCA
278,Bamako,Bamako,Mali,Western Africa,Africa
279,Bamberg,Bavaria,Germany,Western Europe,Europe
280,Bamenda,Nord-Ouest,Cameroon,Central Africa,Africa
281,Banda Aceh,Aceh,Indonesia,Southeastern Asia,Asia Pacific
282,Bandar Abbas,Hormozgan,Iran,Southern Asia,Asia Pacific
283,Bandar-e Anzali,Gilan,Iran,Southern Asia,Asia Pacific
284,Bandirma,Balikesir,Turkey,Western Asia,Asia Pacific
285,Bandundu,Bandundu,Democratic Republic of the Congo,Central Africa,Africa
286,Bandung,Jawa Barat,Indonesia,Southeastern Asia,Asia Pacific
287,Bangalore,Karnataka,India,Southern Asia,Asia Pacific
288,Bangkok,Bangkok,Thailand,Southeastern Asia,Asia Pacific
289,Bangor,Maine,United States,Eastern US,USCA
290,Bangui,Bangui,Central African Republic,Central Africa,Africa
291,Baní,Peravia,Dominican Republic,Caribbean,LATAM
292,Banjarmasin,Kalimantan Selatan,Indonesia,Southeastern Asia,Asia Pacific
293,Banska Bystrica,Banská Bystrica,Slovakia,Eastern Europe,Europe
294,Baoding,Hebei,China,Eastern Asia,Asia Pacific
295,Baotou,Inner Mongolia,China,Eastern Asia,Asia Pacific
296,Baqubah,Diyala,Iraq,Western Asia,Asia Pacific
297,Barakaldo,Basque Country,Spain,Southern Europe,Europe
298,Baraki,Tipaza,Algeria,North Africa,Africa
299,Baranagar,West Bengal,India,Southern Asia,Asia Pacific
300,Barasat,West Bengal,India,Southern Asia,Asia Pacific
301,Barbacena,Minas Gerais,Brazil,South America,LATAM
302,Barcelona,Anzoátegui,Venezuela,South America,LATAM
303,Barcelona,Catalonia,Spain,Southern Europe,Europe
304,Barddhaman,West Bengal,India,Southern Asia,Asia Pacific
305,Bareilly,Uttar Pradesh,India,Southern Asia,Asia Pacific
306,Bari,Apulia,Italy,Southern Europe,Europe
307,Barika,Batna,Algeria,North Africa,Africa
308,Bar-le-Duc,Alsace-Champagne-Ardenne-Lorraine,France,Western Europe,Europe
309,Barletta,Apulia,Italy,Southern Europe,Europe
310,Barneveld,Gelderland,Netherlands,Western Europe,Europe
311,Barnsley,England,United Kingdom,Northern Europe,Europe
312,Barquisimeto,Lara,Venezuela,South America,LATAM
313,Barra do Piraí,Rio de Janeiro,Brazil,South America,LATAM
314,Barra Mansa,Rio de Janeiro,Brazil,South America,LATAM
315,Barranca,Lima,Peru,South America,LATAM
316,Barranquilla,Atlántico,Colombia,South America,LATAM
317,Barreiras,Bahia,Brazil,South America,LATAM
318,Barreirinhas,Maranhão,Brazil,South America,LATAM
319,Barretos,São Paulo,Brazil,South America,LATAM
320,Barrie,Ontario,Canada,Canada,USCA
321,Barry,Wales,United Kingdom,Northern Europe,Europe
322,Bartlett,Tennessee,United States,Southern US,USCA
323,Barueri,São Paulo,Brazil,South America,LATAM
324,Baruta,Miranda,Venezuela,South America,LATAM
325,Basel,Basel-Stadt,Switzerland,Western Europe,Europe
326,Basildon,England,United Kingdom,Northern Europe,Europe
327,Basingstoke,England,United Kingdom,Northern Europe,Europe
328,Basra,Al Basrah,Iraq,Western Asia,Asia Pacific
329,Bastia,Corsica,France,Western Europe,Europe
330,Bata,Litoral,Equatorial Guinea,Central Africa,Africa
331,Bath,England,United Kingdom,Northern Europe,Europe
332,Batman,Batman,Turkey,Western Asia,Asia Pacific
333,Batna,Batna,Algeria,North Africa,Africa
334,Battipaglia,Campania,Italy,Southern Europe,Europe
335,Bauchi,Bauchi,Nigeria,Western Africa,Africa
336,Bayamo,Granma,Cuba,Caribbean,LATAM
337,Bayeux,Normandy,France,Western Europe,Europe
338,Bayeux,Paraíba,Brazil,South America,LATAM
339,Bayonne,Aquitaine-Limousin-Poitou-Charentes,France,Western Europe,Europe
340,Bayonne,New Jersey,United States,Eastern US,USCA
341,Bayreuth,Bavaria,Germany,Western Europe,Europe
342,Baytown,Texas,United States,Central US,USCA
343,Beaumont,Texas,United States,Central US,USCA
344,Beaune,Bourgogne-Franche-Comté,France,Western Europe,Europe
345,Beauvais,Nord-Pas-de-Calais-Picardie,France,Western Europe,Europe
346,Bebington,England,United Kingdom,Northern Europe,Europe
347,Bechar,Bechar,Algeria,North Africa,Africa
348,Bedford,England,United Kingdom,Northern Europe,Europe
349,Bedford,Texas,United States,Central US,USCA
350,Be'er Sheva,Southern,Israel,Western Asia,Asia Pacific
351,Behbahan,Khuzestan,Iran,Southern Asia,Asia Pacific
352,Behshahr,Mazandaran,Iran,Southern Asia,Asia Pacific
353,Beijing,Beijing,China,Eastern Asia,Asia Pacific
354,Beipiao,Liaoning,China,Eastern Asia,Asia Pacific
355,Beira,Sofala,Mozambique,Eastern Africa,Africa
356,Beirut,Beirut,Lebanon,Western Asia,Asia Pacific
357,Bejaia,Bejaia,Algeria,North Africa,Africa
358,Bekasi,Jawa Barat,Indonesia,Southeastern Asia,Asia Pacific
359,Belfort,Bourgogne-Franche-Comté,France,Western Europe,Europe
360,Belgaum,Karnataka,India,Southern Asia,Asia Pacific
361,Belgorod,Belgorod,Russia,Eastern Europe,Europe
362,Belgrade,Central Serbia,Serbia,Eastern Europe,Europe
363,Bellary,Karnataka,India,Southern Asia,Asia Pacific
364,Belleville,New Jersey,United States,Eastern US,USCA
365,Bellevue,Washington,United States,Western US,USCA
366,Bellingham,Washington,United States,Western US,USCA
367,Bello,Antioquia,Colombia,South America,LATAM
368,Belo Horizonte,Minas Gerais,Brazil,South America,LATAM
369,Bendigo,Victoria,Australia,Oceania,Asia Pacific
370,Bene Beraq,Tel Aviv,Israel,Western Asia,Asia Pacific
371,Benevento,Campania,Italy,Southern Europe,Europe
372,Bengbu,Anhui,China,Eastern Asia,Asia Pacific
373,Benghazi,Banghazi,Libya,North Africa,Africa
374,Bengkulu,Bengkulu,Indonesia,Southeastern Asia,Asia Pacific
375,Benguela,Benguela,Angola,Central Africa,Africa
376,Beni Mellal,Tadla-Azilal,Morocco,North Africa,Africa
377,Beni Suef,Bani Suwayf,Egypt,North Africa,Africa
378,Benidorm,Valenciana,Spain,Southern Europe,Europe
379,Benin City,Edo,Nigeria,Western Africa,Africa
380,Benoni,Gauteng,South Africa,Southern Africa,Africa
381,Bento Gonçalves,Rio Grande do Sul,Brazil,South America,LATAM
382,Benxi,Liaoning,China,Eastern Asia,Asia Pacific
383,Berck,Nord-Pas-de-Calais-Picardie,France,Western Europe,Europe
384,Berdyans'k,Zaporizhzhya,Ukraine,Eastern Europe,Europe
385,Berdychiv,Zhytomyr,Ukraine,Eastern Europe,Europe
386,Bergamo,Lombardy,Italy,Southern Europe,Europe
387,Bergen,Hordaland,Norway,Northern Europe,Europe
388,Bergen op Zoom,North Brabant,Netherlands,Western Europe,Europe
389,Bergerac,Aquitaine-Limousin-Poitou-Charentes,France,Western Europe,Europe
390,Bergheim,North Rhine-Westphalia,Germany,Western Europe,Europe
391,Bergisch Gladbach,North Rhine-Westphalia,Germany,Western Europe,Europe
392,Berlin,Berlin,Germany,Western Europe,Europe
393,Berne,Bern,Switzerland,Western Europe,Europe
394,Berrechid,Chaouia-Ouardigha,Morocco,North Africa,Africa
395,Bertoua,Est,Cameroon,Central Africa,Africa
396,Bethlehem,Pennsylvania,United States,Eastern US,USCA
397,Betim,Minas Gerais,Brazil,South America,LATAM
398,Beverly,Massachusetts,United States,Eastern US,USCA
399,Beykoz,Istanbul,Turkey,Western Asia,Asia Pacific
400,Bezerros,Pernambuco,Brazil,South America,LATAM
401,Bezons,Ile-de-France,France,Western Europe,Europe
402,Bharatpur,Rajasthan,India,Southern Asia,Asia Pacific
403,Bhatinda,Punjab,India,Southern Asia,Asia Pacific
404,Bhatpara,West Bengal,India,Southern Asia,Asia Pacific
405,Bhavnagar,Gujarat,India,Southern Asia,Asia Pacific
406,Bhilai,Chhattisgarh,India,Southern Asia,Asia Pacific
407,Bhilwara,Rajasthan,India,Southern Asia,Asia Pacific
408,Bhiwandi,Maharashtra,India,Southern Asia,Asia Pacific
409,Bhopal,Madhya Pradesh,India,Southern Asia,Asia Pacific
410,Bhubaneswar,Odisha,India,Southern Asia,Asia Pacific
411,Bialystok,Podlaskie,Poland,Eastern Europe,Europe
412,Biarritz,Aquitaine-Limousin-Poitou-Charentes,France,Western Europe,Europe
413,Bideford,England,United Kingdom,Northern Europe,Europe
414,Bielefeld,North Rhine-Westphalia,Germany,Western Europe,Europe
415,Bielsko-Biala,Silesia,Poland,Eastern Europe,Europe
416,Bihar Sharif,Bihar,India,Southern Asia,Asia Pacific
417,Bijapur,Karnataka,India,Southern Asia,Asia Pacific
418,Bijie,Guizhou,China,Eastern Asia,Asia Pacific
419,Bikaner,Rajasthan,India,Southern Asia,Asia Pacific
420,Bilaspur,Uttar Pradesh,India,Southern Asia,Asia Pacific
421,Bilbao,Basque Country,Spain,Southern Europe,Europe
422,Bilbeis,Ash Sharqiyah,Egypt,North Africa,Africa
423,Billings,Montana,United States,Western US,USCA
424,Bingol,Bingol,Turkey,Western Asia,Asia Pacific
425,Binjai,Sumatera Utara,Indonesia,Southeastern Asia,Asia Pacific
426,Binzhou,Heilongjiang,China,Eastern Asia,Asia Pacific
427,Binzhou,Shandong,China,Eastern Asia,Asia Pacific
428,Birigui,São Paulo,Brazil,South America,LATAM
429,Birjand,South Khorasan,Iran,Southern Asia,Asia Pacific
430,Birkenhead,England,United Kingdom,Northern Europe,Europe
431,Birmingham,England,United Kingdom,Northern Europe,Europe
432,Birobidzhan,Yevrey,Russia,Eastern Europe,Europe
433,Bisceglie,Apulia,Italy,Southern Europe,Europe
434,Bishkek,Bishkek,Kyrgyzstan,Central Asia,Asia Pacific
435,Bissau,Bissau,Guinea-Bissau,Western Africa,Africa
436,Bistrita,Bistrita-Nasaud,Romania,Eastern Europe,Europe
437,Bitola,Bitola,Macedonia,Southern Europe,Europe
438,Bitonto,Apulia,Italy,Southern Europe,Europe
439,Blackburn,England,United Kingdom,Northern Europe,Europe
440,Blackpool,England,United Kingdom,Northern Europe,Europe
441,Blagoveshchensk,Amur,Russia,Eastern Europe,Europe
442,Blagoveshchensk,Bashkortostan,Russia,Eastern Europe,Europe
443,Blanquefort,Aquitaine-Limousin-Poitou-Charentes,France,Western Europe,Europe
444,Blenheim,Marlborough,New Zealand,Oceania,Asia Pacific
445,Bloemfontein,Free State,South Africa,Southern Africa,Africa
446,Blois,Centre-Val de Loire,France,Western Europe,Europe
447,Bloomington,Illinois,United States,Central US,USCA
448,Bloomington,Indiana,United States,Central US,USCA
449,Blumenau,Santa Catarina,Brazil,South America,LATAM
450,Bo,Southern,Sierra Leone,Western Africa,Africa
451,Boa Esperança,Minas Gerais,Brazil,South America,LATAM
452,Boa Vista,Roraima,Brazil,South America,LATAM
453,Bobigny,Ile-de-France,France,Western Europe,Europe
454,Boca Raton,Florida,United States,Southern US,USCA
455,Bochum,North Rhine-Westphalia,Germany,Western Europe,Europe
456,Boghni,Tizi Ouzou,Algeria,North Africa,Africa
