Product ID,Category,Sub-Category,Product Name
OFF-EN-3668,Office Supplies,Envelopes,"Cameo Mailers, with clear poly window"
OFF-ST-4285,Office Supplies,Storage,"Fellowes Shelving, Wire Frame"
OFF-SU-4984,Office Supplies,Supplies,"Kleencut Ruler, Steel"
OFF-LA-4659,Office Supplies,Labels,"Hon File Folder Labels, Alphabetical"
OFF-BI-3249,Office Supplies,Binders,"Avery Binder Covers, Recycled"
TEC-MA-6133,Technology,Machines,"StarTech Calculator, Red"
OFF-AR-5925,Office Supplies,Art,"Sanford Pens, Easy-Erase"
OFF-AR-5289,Office Supplies,Art,Newell 312
TEC-AC-5210,Technology,Accessories,Memorex Micro Travel Drive 8 GB
OFF-FA-6202,Office Supplies,Fasteners,"Stockwell Staples, Assorted Sizes"
OFF-BI-3246,Office Supplies,Binders,"Avery Binder Covers, Clear"
OFF-SU-4127,Office Supplies,Supplies,"Elite Scissors, Easy Grip"
OFF-BI-2896,Office Supplies,Binders,"Acco Binder, Durable"
FUR-CH-5775,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red"
OFF-ST-6046,Office Supplies,Storage,"Smead Lockers, Blue"
FUR-FU-4755,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock"
OFF-LA-3201,Office Supplies,Labels,Avery 482
FUR-BO-3900,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional"
TEC-PH-3129,Technology,Phones,"Apple Audio Dock, VoIP"
TEC-CO-6009,Technology,Copiers,"Sharp Wireless Fax, Color"
TEC-PH-3134,Technology,Phones,"Apple Headset, VoIP"
OFF-AR-5903,Office Supplies,Art,"Sanford Canvas, Easy-Erase"
FUR-TA-3438,Furniture,Tables,"Bevis Training Table, with Bottom Storage"
OFF-AR-3475,Office Supplies,Art,"Binney & Smith Canvas, Blue"
FUR-FU-3023,Furniture,Furnishings,"Advantus Clock, Black"
FUR-FU-4042,Furniture,Furnishings,"Eldon Door Stop, Durable"
FUR-BO-5777,Furniture,Bookcases,"Safco Floating Shelf Set, Metal"
OFF-EN-4441,Office Supplies,Envelopes,"GlobeWeis Interoffice Envelope, Set of 50"
OFF-ST-6067,Office Supplies,Storage,"Smead Trays, Single Width"
FUR-FU-5736,Furniture,Furnishings,"Rubbermaid Photo Frame, Duo Pack"
OFF-AP-4952,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Black"
OFF-AR-3527,Office Supplies,Art,"Boston Canvas, Fluorescent"
OFF-LA-5384,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical"
OFF-BI-4826,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled"
TEC-AC-5137,Technology,Accessories,"Logitech Router, USB"
FUR-BO-4867,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional"
TEC-MA-4207,Technology,Machines,"Epson Printer, White"
FUR-CH-4630,Furniture,Chairs,"Hon Chairmat, Adjustable"
OFF-PA-4479,Office Supplies,Paper,"Green Bar Note Cards, Multicolor"
OFF-BI-4828,Office Supplies,Binders,"Ibico Index Tab, Clear"
OFF-LA-3312,Office Supplies,Labels,"Avery Removable Labels, Alphabetical"
FUR-FU-3923,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back"
OFF-SU-4981,Office Supplies,Supplies,"Kleencut Ruler, Easy Grip"
OFF-ST-4264,Office Supplies,Storage,"Fellowes Folders, Wire Frame"
OFF-FA-3068,Office Supplies,Fasteners,"Advantus Staples, 12 Pack"
OFF-ST-4294,Office Supplies,Storage,"Fellowes Trays, Industrial"
TEC-CO-4776,Technology,Copiers,"HP Fax Machine, Laser"
TEC-MA-6142,Technology,Machines,"StarTech Inkjet, Wireless"
OFF-ST-4253,Office Supplies,Storage,"Fellowes Box, Wire Frame"
OFF-SU-4126,Office Supplies,Supplies,"Elite Ruler, Steel"
OFF-AR-5926,Office Supplies,Art,"Sanford Pens, Fluorescent"
OFF-LA-4538,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Adjustable"
OFF-PA-4462,Office Supplies,Paper,"Green Bar Cards & Envelopes, Multicolor"
OFF-BI-6398,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable"
OFF-LA-4540,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible"
TEC-MA-6138,Technology,Machines,"StarTech Card Printer, White"
TEC-PH-3135,Technology,Phones,"Apple Headset, with Caller ID"
OFF-ST-6287,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers
FUR-BO-5526,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish"
OFF-AR-2874,Office Supplies,Art,4009 Highlighters by Sanford
OFF-ST-4288,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers
TEC-AC-5609,Technology,Accessories,Plantronics S12 Corded Telephone Headset System
OFF-EN-3612,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes
OFF-FA-6129,Office Supplies,Fasteners,Staples
OFF-PA-6615,Office Supplies,Paper,"Xerox Message Books, Premium"
FUR-BO-5780,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional"
OFF-EN-4915,Office Supplies,Envelopes,"Jiffy Mailers, Security-Tint"
FUR-FU-6241,Furniture,Furnishings,"Tenex Door Stop, Black"
OFF-ST-6065,Office Supplies,Storage,"Smead Trays, Blue"
OFF-ST-6274,Office Supplies,Storage,"Tenex Shelving, Single Width"
OFF-SU-3001,Office Supplies,Supplies,"Acme Trimmer, Easy Grip"
OFF-BI-3719,Office Supplies,Binders,"Cardinal Binder Covers, Recycled"
OFF-PA-6476,Office Supplies,Paper,Xerox 1923
OFF-BI-3301,Office Supplies,Binders,Avery Metallic Poly Binders
FUR-CH-4411,Furniture,Chairs,Global Highback Leather Tilter in Burgundy
OFF-AR-6105,Office Supplies,Art,"Stanley Canvas, Blue"
TEC-CO-4570,Technology,Copiers,"Hewlett Copy Machine, Laser"
FUR-BO-3904,Furniture,Bookcases,"Dania Library with Doors, Traditional"
FUR-BO-5956,Furniture,Bookcases,Sauder Cornerstone Collection Library
FUR-CH-4704,Furniture,Chairs,"Hon Swivel Stool, Set of Two"
OFF-AR-6116,Office Supplies,Art,"Stanley Markers, Fluorescent"
OFF-AP-3867,Office Supplies,Appliances,"Cuisinart Microwave, White"
OFF-PA-4466,Office Supplies,Paper,"Green Bar Computer Printout Paper, 8.5 x 11"
OFF-SU-4120,Office Supplies,Supplies,"Elite Letter Opener, Easy Grip"
FUR-CH-4544,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable"
OFF-AR-5919,Office Supplies,Art,"Sanford Markers, Fluorescent"
OFF-LA-4541,Office Supplies,Labels,"Harbour Creations Removable Labels, 5000 Label Set"
TEC-AC-5094,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
OFF-AR-3491,Office Supplies,Art,"Binney & Smith Markers, Water Color"
FUR-FU-3909,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame
TEC-PH-3164,Technology,Phones,AT&T 841000 Phone
OFF-LA-5715,Office Supplies,Labels,Round Specialty Laser Printer Labels
OFF-BI-4350,Office Supplies,Binders,GBC Linen Binding Covers
OFF-ST-4261,Office Supplies,Storage,"Fellowes Folders, Blue"
OFF-ST-6229,Office Supplies,Storage,"Tenex Box, Industrial"
OFF-BI-4813,Office Supplies,Binders,"Ibico Binder, Economy"
OFF-AR-6122,Office Supplies,Art,"Stanley Pens, Easy-Erase"
OFF-LA-4696,Office Supplies,Labels,"Hon Shipping Labels, Laser Printer Compatible"
OFF-ST-4266,Office Supplies,Storage,"Fellowes Lockers, Blue"
OFF-FA-6207,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Bulk Pack"
OFF-FA-5462,Office Supplies,Fasteners,"OIC Clamps, 12 Pack"
OFF-BI-2901,Office Supplies,Binders,"Acco Binding Machine, Economy"
OFF-BI-3723,Office Supplies,Binders,"Cardinal Binder, Recycled"
OFF-BI-6382,Office Supplies,Binders,"Wilson Jones Binding Machine, Clear"
TEC-MA-5513,Technology,Machines,"Okidata Printer, Wireless"
FUR-BO-4856,Furniture,Bookcases,"Ikea Floating Shelf Set, Metal"
TEC-CO-3602,Technology,Copiers,"Brother Ink, Laser"
OFF-AP-4270,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector
TEC-AC-3395,Technology,Accessories,"Belkin Mouse, USB"
TEC-AC-5860,Technology,Accessories,"SanDisk Flash Drive, Bluetooth"
OFF-EN-4431,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Recycled"
OFF-FA-6185,Office Supplies,Fasteners,"Stockwell Clamps, Assorted Sizes"
FUR-BO-3627,Furniture,Bookcases,"Bush Classic Bookcase, Traditional"
OFF-AP-3866,Office Supplies,Appliances,"Cuisinart Microwave, Silver"
FUR-CH-5448,Furniture,Chairs,"Office Star Rocking Chair, Red"
FUR-BO-3640,Furniture,Bookcases,"Bush Library with Doors, Mobile"
OFF-AR-3545,Office Supplies,Art,"Boston Pencil Sharpener, Water Color"
OFF-ST-4107,Office Supplies,Storage,"Eldon Trays, Single Width"
OFF-PA-4480,Office Supplies,Paper,"Green Bar Note Cards, Premium"
OFF-ST-4250,Office Supplies,Storage,"Fellowes Box, Blue"
OFF-LA-5375,Office Supplies,Labels,"Novimex Color Coded Labels, Adjustable"
OFF-LA-5402,Office Supplies,Labels,"Novimex Shipping Labels, 5000 Label Set"
FUR-BO-5522,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine
OFF-PA-6307,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page"
OFF-EN-6325,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
OFF-BI-4367,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets"
FUR-TA-3764,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled"
OFF-ST-4268,Office Supplies,Storage,"Fellowes Lockers, Single Width"
TEC-PH-3803,Technology,Phones,"Cisco Signal Booster, with Caller ID"
FUR-CH-5447,Furniture,Chairs,"Office Star Rocking Chair, Black"
TEC-PH-3145,Technology,Phones,"Apple Signal Booster, VoIP"
TEC-AC-5225,Technology,Accessories,"Memorex Router, Programmable"
OFF-SU-4305,Office Supplies,Supplies,"Fiskars Box Cutter, Serrated"
FUR-CH-4620,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms
TEC-PH-3137,Technology,Phones,Apple iPhone 5C
FUR-FU-4047,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
OFF-AR-5305,Office Supplies,Art,Newell 327
OFF-AR-5332,Office Supplies,Art,Newell 351
OFF-SU-4326,Office Supplies,Supplies,"Fiskars Trimmer, High Speed"
OFF-ST-5708,Office Supplies,Storage,"Rogers Shelving, Wire Frame"
OFF-PA-6423,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4"""
OFF-BI-4342,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine
OFF-AR-5933,Office Supplies,Art,"Sanford Sketch Pad, Water Color"
OFF-EN-3671,Office Supplies,Envelopes,"Cameo Manila Envelope, Set of 50"
OFF-BI-2893,Office Supplies,Binders,"Acco Binder Covers, Economy"
FUR-FU-4038,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
OFF-AP-4610,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-ST-4246,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems
OFF-AR-5554,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener
OFF-BI-6209,Office Supplies,Binders,Storex Dura Pro Binders
FUR-FU-6331,Furniture,Furnishings,Ultra Door Push Plate
OFF-BI-2926,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
OFF-ST-4059,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
OFF-ST-5702,Office Supplies,Storage,"Rogers Lockers, Single Width"
OFF-ST-6246,Office Supplies,Storage,"Tenex File Cart, Blue"
OFF-AR-3481,Office Supplies,Art,"Binney & Smith Highlighters, Blue"
OFF-ST-6068,Office Supplies,Storage,"Smead Trays, Wire Frame"
OFF-BI-2899,Office Supplies,Binders,"Acco Binding Machine, Clear"
FUR-BO-5962,Furniture,Bookcases,"Sauder Floating Shelf Set, Traditional"
FUR-CH-5408,Furniture,Chairs,"Novimex Steel Folding Chair, Red"
TEC-AC-5867,Technology,Accessories,"SanDisk Keyboard, USB"
OFF-AR-3526,Office Supplies,Art,"Boston Canvas, Easy-Erase"
TEC-PH-5824,Technology,Phones,"Samsung Headset, Cordless"
FUR-FU-3025,Furniture,Furnishings,"Advantus Clock, Durable"
FUR-FU-6330,Furniture,Furnishings,Ultra Door Pull Handle
FUR-BO-3890,Furniture,Bookcases,"Dania Classic Bookcase, Mobile"
FUR-CH-5380,Furniture,Chairs,"Novimex Executive Leather Armchair, Red"
OFF-SU-6161,Office Supplies,Supplies,"Stiletto Box Cutter, High Speed"
OFF-LA-4529,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Laser Printer Compatible"
OFF-PA-3994,Office Supplies,Paper,"Eaton Memo Slips, 8.5 x 11"
OFF-FA-5463,Office Supplies,Fasteners,"OIC Clamps, Assorted Sizes"
TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size"
OFF-AP-3578,Office Supplies,Appliances,"Breville Stove, Black"
TEC-CO-6000,Technology,Copiers,"Sharp Fax Machine, Laser"
FUR-CH-4564,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two"
OFF-EN-5040,Office Supplies,Envelopes,"Kraft Manila Envelope, with clear poly window"
FUR-FU-6253,Furniture,Furnishings,"Tenex Frame, Black"
FUR-CH-4681,Furniture,Chairs,"Hon Rocking Chair, Adjustable"
FUR-CH-5436,Furniture,Chairs,"Office Star Bag Chairs, Set of Two"
OFF-AR-3549,Office Supplies,Art,"Boston Pens, Water Color"
OFF-PA-5869,Office Supplies,Paper,"SanDisk Memo Slips, Multicolor"
TEC-AC-5862,Technology,Accessories,"SanDisk Flash Drive, Programmable"
OFF-PA-6505,Office Supplies,Paper,Xerox 195
OFF-LA-4527,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Adjustable"
OFF-LA-3323,Office Supplies,Labels,"Avery Shipping Labels, Laser Printer Compatible"
OFF-LA-3316,Office Supplies,Labels,"Avery Round Labels, Alphabetical"
OFF-AR-3539,Office Supplies,Art,"Boston Markers, Fluorescent"
OFF-FA-3080,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack"
OFF-BI-3292,Office Supplies,Binders,"Avery Hole Reinforcements, Recycled"
TEC-MA-5568,Technology,Machines,"Panasonic Phone, Red"
OFF-AR-6117,Office Supplies,Art,"Stanley Markers, Water Color"
OFF-BI-3720,Office Supplies,Binders,"Cardinal Binder, Clear"
OFF-AR-3546,Office Supplies,Art,"Boston Pens, Blue"
OFF-EN-4452,Office Supplies,Envelopes,"GlobeWeis Peel and Seal, Security-Tint"
OFF-PA-6600,Office Supplies,Paper,"Xerox Cards & Envelopes, 8.5 x 11"
OFF-PA-3993,Office Supplies,Paper,"Eaton Computer Printout Paper, Recycled"
OFF-AR-3497,Office Supplies,Art,"Binney & Smith Pens, Fluorescent"
FUR-FU-3037,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack"
FUR-CH-5379,Furniture,Chairs,"Novimex Executive Leather Armchair, Black"
FUR-CH-5773,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable"
TEC-MA-5007,Technology,Machines,"Konica Inkjet, White"
OFF-AP-4954,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver"
FUR-BO-5797,Furniture,Bookcases,"Safco Stackable Bookrack, Mobile"
TEC-AC-4186,Technology,Accessories,"Enermax Router, Erganomic"
TEC-CO-4787,Technology,Copiers,"HP Personal Copier, Laser"
OFF-AR-3469,Office Supplies,Art,"BIC Sketch Pad, Easy-Erase"
OFF-SU-4137,Office Supplies,Supplies,"Elite Trimmer, Serrated"
OFF-AP-4492,Office Supplies,Appliances,"Hamilton Beach Blender, White"
OFF-ST-5688,Office Supplies,Storage,"Rogers Box, Single Width"
OFF-BI-4808,Office Supplies,Binders,"Ibico Binder Covers, Durable"
OFF-AR-3454,Office Supplies,Art,"BIC Highlighters, Water Color"
TEC-AC-5193,Technology,Accessories,"Memorex Flash Drive, Bluetooth"
OFF-BI-3253,Office Supplies,Binders,"Avery Binder, Economy"
OFF-LA-6050,Office Supplies,Labels,"Smead Removable Labels, 5000 Label Set"
OFF-BI-3722,Office Supplies,Binders,"Cardinal Binder, Economy"
FUR-CH-5406,Furniture,Chairs,"Novimex Steel Folding Chair, Adjustable"
OFF-LA-5405,Office Supplies,Labels,"Novimex Shipping Labels, Laser Printer Compatible"
OFF-EN-5025,Office Supplies,Envelopes,"Kraft Clasp Envelope, Recycled"
FUR-FU-5741,Furniture,Furnishings,"Rubbermaid Stacking Tray, Erganomic"
OFF-BI-3739,Office Supplies,Binders,"Cardinal Index Tab, Economy"
OFF-LA-4639,Office Supplies,Labels,"Hon Color Coded Labels, Alphabetical"
OFF-BI-2891,Office Supplies,Binders,"Acco Binder Covers, Clear"
FUR-BO-5809,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"
OFF-BI-6368,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders
TEC-MA-5493,Technology,Machines,"Okidata Calculator, Durable"
OFF-SU-4995,Office Supplies,Supplies,"Kleencut Trimmer, Serrated"
OFF-SU-6175,Office Supplies,Supplies,"Stiletto Scissors, Steel"
OFF-EN-3658,Office Supplies,Envelopes,"Cameo Clasp Envelope, Security-Tint"
FUR-FU-3955,Furniture,Furnishings,"Deflect-O Stacking Tray, Black"
OFF-AR-3533,Office Supplies,Art,"Boston Highlighters, Fluorescent"
OFF-EN-5024,Office Supplies,Envelopes,"Kraft Business Envelopes, Set of 50"
OFF-FA-6205,Office Supplies,Fasteners,"Stockwell Thumb Tacks, 12 Pack"
OFF-BI-3735,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy"
OFF-ST-5765,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h"
TEC-PH-4894,Technology,Phones,Jabra SPEAK 410
TEC-PH-5163,Technology,Phones,Macally Suction Cup Mount
FUR-FU-4387,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack"
OFF-PA-4217,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream"
FUR-FU-4069,Furniture,Furnishings,Eldon Image Series Black Desk Accessories
OFF-PA-5673,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages"
TEC-CO-5998,Technology,Copiers,"Sharp Fax Machine, Digital"
FUR-TA-3333,Furniture,Tables,Balt Split Level Computer Training Table
OFF-ST-5671,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders
